prompt,a,b,solution,carry_u,carry_d,completion,prediction,correct,bin
"1280+1398=2678
4968+4272=9240
2765+142=2907
5185+695=",5185,695,5880,True,True,"1280+1398=2678
4968+4272=9240
2765+142=2907
5185+695=5880",5880,True,"[5800, 5900)"
"4853+83=4936
2394+3550=5944
545+1953=2498
360+5520=",360,5520,5880,False,False,"4853+83=4936
2394+3550=5944
545+1953=2498
360+5520=5880",5880,True,"[5800, 5900)"
"4158+1795=5953
1741+3242=4983
4955+4514=9469
1489+4392=",1489,4392,5881,True,True,"4158+1795=5953
1741+3242=4983
4955+4514=9469
1489+4392=5881",5881,True,"[5800, 5900)"
"2077+3500=5577
1907+3059=4966
2438+1646=4084
1828+4053=",1828,4053,5881,True,False,"2077+3500=5577
1907+3059=4966
2438+1646=4084
1828+4053=5881",5881,True,"[5800, 5900)"
"412+4929=5341
4256+2079=6335
4279+2321=6600
5779+103=",5779,103,5882,True,False,"412+4929=5341
4256+2079=6335
4279+2321=6600
5779+103=5882",5882,True,"[5800, 5900)"
"1791+779=2570
3969+4646=8615
1964+3067=5031
5259+623=",5259,623,5882,True,False,"1791+779=2570
3969+4646=8615
1964+3067=5031
5259+623=5881",5881,False,"[5800, 5900)"
"1182+4717=5899
3330+561=3891
4528+3214=7742
5237+646=",5237,646,5883,True,False,"1182+4717=5899
3330+561=3891
4528+3214=7742
5237+646=5883",5883,True,"[5800, 5900)"
"896+932=1828
3712+1603=5315
3000+3966=6966
1607+4276=",1607,4276,5883,True,False,"896+932=1828
3712+1603=5315
3000+3966=6966
1607+4276=5883",5883,True,"[5800, 5900)"
"1800+2381=4181
1267+3653=4920
257+4330=4587
2420+3464=",2420,3464,5884,False,False,"1800+2381=4181
1267+3653=4920
257+4330=4587
2420+3464=5884",5884,True,"[5800, 5900)"
"525+4175=4700
635+774=1409
4898+1336=6234
5642+242=",5642,242,5884,False,False,"525+4175=4700
635+774=1409
4898+1336=6234
5642+242=5884",5884,True,"[5800, 5900)"
"4366+4280=8646
2200+2458=4658
4971+925=5896
3028+2857=",3028,2857,5885,True,False,"4366+4280=8646
2200+2458=4658
4971+925=5896
3028+2857=5885",5885,True,"[5800, 5900)"
"2038+1688=3726
3404+4470=7874
1110+2135=3245
577+5308=",577,5308,5885,True,False,"2038+1688=3726
3404+4470=7874
1110+2135=3245
577+5308=5885",5885,True,"[5800, 5900)"
"1359+1948=3307
1407+3123=4530
3803+469=4272
4924+962=",4924,962,5886,False,False,"1359+1948=3307
1407+3123=4530
3803+469=4272
4924+962=5886",5886,True,"[5800, 5900)"
"2353+1085=3438
1000+3635=4635
4998+4585=9583
1369+4517=",1369,4517,5886,True,False,"2353+1085=3438
1000+3635=4635
4998+4585=9583
1369+4517=5886",5886,True,"[5800, 5900)"
"4382+449=4831
2571+1516=4087
4413+4746=9159
3836+2051=",3836,2051,5887,False,False,"4382+449=4831
2571+1516=4087
4413+4746=9159
3836+2051=5887",5887,True,"[5800, 5900)"
"2697+2570=5267
298+4735=5033
3553+716=4269
2540+3347=",2540,3347,5887,False,False,"2697+2570=5267
298+4735=5033
3553+716=4269
2540+3347=5887",5887,True,"[5800, 5900)"
"1931+400=2331
2446+3216=5662
673+3998=4671
5059+829=",5059,829,5888,True,False,"1931+400=2331
2446+3216=5662
673+3998=4671
5059+829=5888",5888,True,"[5800, 5900)"
"4295+1363=5658
2325+3504=5829
2565+4994=7559
3620+2268=",3620,2268,5888,False,False,"4295+1363=5658
2325+3504=5829
2565+4994=7559
3620+2268=5888",5888,True,"[5800, 5900)"
"650+3818=4468
532+4288=4820
2224+878=3102
1074+4815=",1074,4815,5889,False,False,"650+3818=4468
532+4288=4820
2224+878=3102
1074+4815=5889",5889,True,"[5800, 5900)"
"3194+1608=4802
707+4653=5360
4705+4082=8787
2849+3040=",2849,3040,5889,False,False,"3194+1608=4802
707+4653=5360
4705+4082=8787
2849+3040=5889",5889,True,"[5800, 5900)"
"3191+773=3964
455+2157=2612
1768+4336=6104
2731+3159=",2731,3159,5890,True,False,"3191+773=3964
455+2157=2612
1768+4336=6104
2731+3159=5900",5900,False,"[5800, 5900)"
"1158+3349=4507
4560+453=5013
957+2430=3387
4218+1672=",4218,1672,5890,True,False,"1158+3349=4507
4560+453=5013
957+2430=3387
4218+1672=5890",5890,True,"[5800, 5900)"
"967+3790=4757
4203+3193=7396
842+1042=1884
1966+3925=",1966,3925,5891,True,False,"967+3790=4757
4203+3193=7396
842+1042=1884
1966+3925=5891",5891,True,"[5800, 5900)"
"3853+3212=7065
4302+2572=6874
3+4670=4673
833+5058=",833,5058,5891,True,False,"3853+3212=7065
4302+2572=6874
3+4670=4673
833+5058=5891",5891,True,"[5800, 5900)"
"940+4207=5147
1904+1744=3648
4274+3478=7752
4813+1079=",4813,1079,5892,True,False,"940+4207=5147
1904+1744=3648
4274+3478=7752
4813+1079=5892",5892,True,"[5800, 5900)"
"55+965=1020
2008+4210=6218
2225+4246=6471
566+5326=",566,5326,5892,True,False,"55+965=1020
2008+4210=6218
2225+4246=6471
566+5326=5892",5892,True,"[5800, 5900)"
"3158+4181=7339
4972+1588=6560
1515+4792=6307
3574+2319=",3574,2319,5893,True,False,"3158+4181=7339
4972+1588=6560
1515+4792=6307
3574+2319=5893",5893,True,"[5800, 5900)"
"4010+1594=5604
3023+44=3067
2949+3151=6100
4816+1077=",4816,1077,5893,True,False,"4010+1594=5604
3023+44=3067
2949+3151=6100
4816+1077=5893",5893,True,"[5800, 5900)"
"3927+4715=8642
4038+2341=6379
2865+3833=6698
1500+4394=",1500,4394,5894,False,False,"3927+4715=8642
4038+2341=6379
2865+3833=6698
1500+4394=5894",5894,True,"[5800, 5900)"
"3303+3876=7179
1228+2490=3718
4309+216=4525
3595+2299=",3595,2299,5894,True,True,"3303+3876=7179
1228+2490=3718
4309+216=4525
3595+2299=5894",5894,True,"[5800, 5900)"
"3195+608=3803
1706+2455=4161
1829+4716=6545
1960+3935=",1960,3935,5895,False,False,"3195+608=3803
1706+2455=4161
1829+4716=6545
1960+3935=5895",5895,True,"[5800, 5900)"
"4443+1310=5753
1103+2971=4074
4318+571=4889
5107+788=",5107,788,5895,True,False,"4443+1310=5753
1103+2971=4074
4318+571=4889
5107+788=5895",5895,True,"[5800, 5900)"
"461+697=1158
2168+4060=6228
2970+3419=6389
2515+3381=",2515,3381,5896,False,False,"461+697=1158
2168+4060=6228
2970+3419=6389
2515+3381=5996",5996,False,"[5800, 5900)"
"2389+380=2769
2346+3232=5578
3530+858=4388
3563+2333=",3563,2333,5896,False,False,"2389+380=2769
2346+3232=5578
3530+858=4388
3563+2333=5896",5896,True,"[5800, 5900)"
"1885+4707=6592
3573+3926=7499
821+1837=2658
3028+2869=",3028,2869,5897,True,False,"1885+4707=6592
3573+3926=7499
821+1837=2658
3028+2869=5907",5907,False,"[5800, 5900)"
"1003+740=1743
4154+3673=7827
4337+212=4549
1125+4772=",1125,4772,5897,False,False,"1003+740=1743
4154+3673=7827
4337+212=4549
1125+4772=5897",5897,True,"[5800, 5900)"
"1815+4577=6392
2070+1585=3655
380+1982=2362
5109+789=",5109,789,5898,True,False,"1815+4577=6392
2070+1585=3655
380+1982=2362
5109+789=5898",5898,True,"[5800, 5900)"
"846+557=1403
2917+1739=4656
469+4426=4895
3556+2342=",3556,2342,5898,False,False,"846+557=1403
2917+1739=4656
469+4426=4895
3556+2342=5900",5900,False,"[5800, 5900)"
"2494+1324=3818
409+3895=4304
439+3138=3577
2586+3313=",2586,3313,5899,False,False,"2494+1324=3818
409+3895=4304
439+3138=3577
2586+3313=5899",5899,True,"[5800, 5900)"
"4991+4448=9439
4765+2760=7525
4863+2852=7715
1667+4232=",1667,4232,5899,False,False,"4991+4448=9439
4765+2760=7525
4863+2852=7715
1667+4232=5909",5909,False,"[5800, 5900)"
"4257+1897=6154
3640+4424=8064
1916+1470=3386
708+5192=",708,5192,5900,True,True,"4257+1897=6154
3640+4424=8064
1916+1470=3386
708+5192=5890",5890,False,"[5900, 6000)"
"2484+477=2961
952+1020=1972
3971+4811=8782
4691+1209=",4691,1209,5900,True,True,"2484+477=2961
952+1020=1972
3971+4811=8782
4691+1209=5900",5900,True,"[5900, 6000)"
"3272+3894=7166
3352+1414=4766
1788+2534=4322
613+5288=",613,5288,5901,True,True,"3272+3894=7166
3352+1414=4766
1788+2534=4322
613+5288=5891",5891,False,"[5900, 6000)"
"2369+901=3270
2670+1572=4242
3508+1586=5094
2842+3059=",2842,3059,5901,True,True,"2369+901=3270
2670+1572=4242
3508+1586=5094
2842+3059=5901",5901,True,"[5900, 6000)"
"4452+1505=5957
1882+1428=3310
4105+2880=6985
2305+3597=",2305,3597,5902,True,True,"4452+1505=5957
1882+1428=3310
4105+2880=6985
2305+3597=5892",5892,False,"[5900, 6000)"
"2361+2957=5318
3818+4339=8157
2018+1384=3402
1264+4638=",1264,4638,5902,True,True,"2361+2957=5318
3818+4339=8157
2018+1384=3402
1264+4638=5902",5902,True,"[5900, 6000)"
"4204+3093=7297
4917+855=5772
2740+3627=6367
2019+3884=",2019,3884,5903,True,True,"4204+3093=7297
4917+855=5772
2740+3627=6367
2019+3884=5903",5903,True,"[5900, 6000)"
"1595+347=1942
3570+2258=5828
2695+3199=5894
5082+821=",5082,821,5903,False,True,"1595+347=1942
3570+2258=5828
2695+3199=5894
5082+821=5904",5904,False,"[5900, 6000)"
"4466+2805=7271
3665+4534=8199
2979+1549=4528
3440+2464=",3440,2464,5904,False,True,"4466+2805=7271
3665+4534=8199
2979+1549=4528
3440+2464=5904",5904,True,"[5900, 6000)"
"2249+2567=4816
1538+4281=5819
2115+3547=5662
5723+181=",5723,181,5904,False,True,"2249+2567=4816
1538+4281=5819
2115+3547=5662
5723+181=5741",5741,False,"[5900, 6000)"
"2852+575=3427
340+51=391
1909+4598=6507
218+5687=",218,5687,5905,True,True,"2852+575=3427
340+51=391
1909+4598=6507
218+5687=5905",5905,True,"[5900, 6000)"
"217+252=469
301+2473=2774
3151+848=3999
4979+926=",4979,926,5905,True,True,"217+252=469
301+2473=2774
3151+848=3999
4979+926=5895",5895,False,"[5900, 6000)"
"1988+1959=3947
2548+3513=6061
1314+4566=5880
647+5259=",647,5259,5906,True,True,"1988+1959=3947
2548+3513=6061
1314+4566=5880
647+5259=5906",5906,True,"[5900, 6000)"
"2595+4688=7283
990+1754=2744
225+3485=3710
2832+3074=",2832,3074,5906,False,True,"2595+4688=7283
990+1754=2744
225+3485=3710
2832+3074=5906",5906,True,"[5900, 6000)"
"3515+1249=4764
2910+193=3103
4455+2423=6878
397+5510=",397,5510,5907,False,True,"3515+1249=4764
2910+193=3103
4455+2423=6878
397+5510=5907",5907,True,"[5900, 6000)"
"2560+2042=4602
2047+963=3010
2450+301=2751
3532+2375=",3532,2375,5907,False,True,"2560+2042=4602
2047+963=3010
2450+301=2751
3532+2375=5907",5907,True,"[5900, 6000)"
"3952+4714=8666
1792+428=2220
2029+1537=3566
3405+2503=",3405,2503,5908,False,False,"3952+4714=8666
1792+428=2220
2029+1537=3566
3405+2503=5908",5908,True,"[5900, 6000)"
"1856+756=2612
245+38=283
3700+2738=6438
799+5109=",799,5109,5908,True,True,"1856+756=2612
245+38=283
3700+2738=6438
799+5109=5908",5908,True,"[5900, 6000)"
"3301+4231=7532
4903+205=5108
1205+4694=5899
1182+4727=",1182,4727,5909,False,True,"3301+4231=7532
4903+205=5108
1205+4694=5899
1182+4727=5909",5909,True,"[5900, 6000)"
"1423+3574=4997
1740+4805=6545
565+3356=3921
1653+4256=",1653,4256,5909,False,True,"1423+3574=4997
1740+4805=6545
565+3356=3921
1653+4256=5909",5909,True,"[5900, 6000)"
"925+1174=2099
523+686=1209
4511+2454=6965
4602+1308=",4602,1308,5910,True,False,"925+1174=2099
523+686=1209
4511+2454=6965
4602+1308=5910",5910,True,"[5900, 6000)"
"184+332=516
1745+4666=6411
4175+4075=8250
4740+1170=",4740,1170,5910,False,True,"184+332=516
1745+4666=6411
4175+4075=8250
4740+1170=5910",5910,True,"[5900, 6000)"
"1569+1429=2998
3950+2651=6601
2076+3317=5393
4743+1168=",4743,1168,5911,True,True,"1569+1429=2998
3950+2651=6601
2076+3317=5393
4743+1168=5911",5911,True,"[5900, 6000)"
"1155+4350=5505
3166+2305=5471
419+1362=1781
5482+429=",5482,429,5911,True,True,"1155+4350=5505
3166+2305=5471
419+1362=1781
5482+429=5525",5525,False,"[5900, 6000)"
"118+952=1070
1625+2785=4410
3541+787=4328
1029+4883=",1029,4883,5912,True,True,"118+952=1070
1625+2785=4410
3541+787=4328
1029+4883=5912",5912,True,"[5900, 6000)"
"1617+1249=2866
3904+1645=5549
3438+1362=4800
3434+2478=",3434,2478,5912,True,True,"1617+1249=2866
3904+1645=5549
3438+1362=4800
3434+2478=5912",5912,True,"[5900, 6000)"
"1786+1952=3738
1579+4724=6303
741+4313=5054
1914+3999=",1914,3999,5913,True,True,"1786+1952=3738
1579+4724=6303
741+4313=5054
1914+3999=5913",5913,True,"[5900, 6000)"
"1118+2869=3987
482+141=623
221+3199=3420
5410+503=",5410,503,5913,False,False,"1118+2869=3987
482+141=623
221+3199=3420
5410+503=5913",5913,True,"[5900, 6000)"
"3221+2118=5339
226+3595=3821
501+467=968
664+5250=",664,5250,5914,False,True,"3221+2118=5339
226+3595=3821
501+467=968
664+5250=5914",5914,True,"[5900, 6000)"
"4635+1407=6042
4146+1750=5896
4337+1634=5971
5100+814=",5100,814,5914,False,False,"4635+1407=6042
4146+1750=5896
4337+1634=5971
5100+814=5914",5914,True,"[5900, 6000)"
"2095+3276=5371
4914+2395=7309
4350+3683=8033
4373+1542=",4373,1542,5915,False,True,"2095+3276=5371
4914+2395=7309
4350+3683=8033
4373+1542=5915",5915,True,"[5900, 6000)"
"623+3592=4215
1131+266=1397
4019+4760=8779
3486+2429=",3486,2429,5915,True,True,"623+3592=4215
1131+266=1397
4019+4760=8779
3486+2429=5915",5915,True,"[5900, 6000)"
"4758+2090=6848
1957+2566=4523
2303+4875=7178
877+5039=",877,5039,5916,True,True,"4758+2090=6848
1957+2566=4523
2303+4875=7178
877+5039=5916",5916,True,"[5900, 6000)"
"1838+1963=3801
2323+1254=3577
1953+2323=4276
1823+4093=",1823,4093,5916,False,True,"1838+1963=3801
2323+1254=3577
1953+2323=4276
1823+4093=5916",5916,True,"[5900, 6000)"
"4624+3816=8440
3442+309=3751
2605+1502=4107
4544+1373=",4544,1373,5917,False,True,"4624+3816=8440
3442+309=3751
2605+1502=4107
4544+1373=5917",5917,True,"[5900, 6000)"
"4843+4944=9787
4588+4359=8947
2681+3920=6601
919+4998=",919,4998,5917,True,True,"4843+4944=9787
4588+4359=8947
2681+3920=6601
919+4998=5917",5917,True,"[5900, 6000)"
"4376+4926=9302
4948+3476=8424
4217+120=4337
3625+2293=",3625,2293,5918,False,True,"4376+4926=9302
4948+3476=8424
4217+120=4337
3625+2293=5918",5918,True,"[5900, 6000)"
"4783+3536=8319
3007+2004=5011
2227+1157=3384
1930+3988=",1930,3988,5918,False,True,"4783+3536=8319
3007+2004=5011
2227+1157=3384
1930+3988=5918",5918,True,"[5900, 6000)"
"2061+3638=5699
2696+3897=6593
2091+1571=3662
5586+333=",5586,333,5919,False,True,"2061+3638=5699
2696+3897=6593
2091+1571=3662
5586+333=5619",5619,False,"[5900, 6000)"
"4949+3930=8879
1547+542=2089
558+4803=5361
1852+4067=",1852,4067,5919,False,True,"4949+3930=8879
1547+542=2089
558+4803=5361
1852+4067=5919",5919,True,"[5900, 6000)"
"4989+4928=9917
4069+903=4972
1642+4543=6185
4527+1393=",4527,1393,5920,True,True,"4989+4928=9917
4069+903=4972
1642+4543=6185
4527+1393=5920",5920,True,"[5900, 6000)"
"4240+4846=9086
4106+1762=5868
154+3997=4151
3734+2186=",3734,2186,5920,True,True,"4240+4846=9086
4106+1762=5868
154+3997=4151
3734+2186=5920",5920,True,"[5900, 6000)"
"1710+1001=2711
334+2176=2510
1448+3285=4733
5574+347=",5574,347,5921,True,True,"1710+1001=2711
334+2176=2510
1448+3285=4733
5574+347=5921",5921,True,"[5900, 6000)"
"2894+1907=4801
3343+4917=8260
565+594=1159
5061+860=",5061,860,5921,False,True,"2894+1907=4801
3343+4917=8260
565+594=1159
5061+860=5921",5921,True,"[5900, 6000)"
"301+1318=1619
2734+4263=6997
1606+4763=6369
2832+3090=",2832,3090,5922,False,True,"301+1318=1619
2734+4263=6997
1606+4763=6369
2832+3090=5922",5922,True,"[5900, 6000)"
"1027+171=1198
3971+92=4063
4014+1283=5297
5478+444=",5478,444,5922,True,True,"1027+171=1198
3971+92=4063
4014+1283=5297
5478+444=5922",5922,True,"[5900, 6000)"
"4497+4272=8769
4157+3038=7195
4024+3416=7440
891+5032=",891,5032,5923,False,True,"4497+4272=8769
4157+3038=7195
4024+3416=7440
891+5032=5923",5923,True,"[5900, 6000)"
"4236+910=5146
2387+3655=6042
1480+2509=3989
1013+4910=",1013,4910,5923,False,False,"4236+910=5146
2387+3655=6042
1480+2509=3989
1013+4910=5923",5923,True,"[5900, 6000)"
"251+4324=4575
3603+2686=6289
4715+59=4774
3159+2765=",3159,2765,5924,True,True,"251+4324=4575
3603+2686=6289
4715+59=4774
3159+2765=5924",5924,True,"[5900, 6000)"
"2680+2761=5441
4549+4519=9068
194+3448=3642
1087+4837=",1087,4837,5924,True,True,"2680+2761=5441
4549+4519=9068
194+3448=3642
1087+4837=5924",5924,True,"[5900, 6000)"
"125+2120=2245
1733+2224=3957
3656+1335=4991
701+5224=",701,5224,5925,False,False,"125+2120=2245
1733+2224=3957
3656+1335=4991
701+5224=5925",5925,True,"[5900, 6000)"
"2816+2383=5199
2266+4553=6819
835+1762=2597
4572+1353=",4572,1353,5925,False,True,"2816+2383=5199
2266+4553=6819
835+1762=2597
4572+1353=5925",5925,True,"[5900, 6000)"
"2337+1800=4137
3713+4258=7971
1289+2781=4070
740+5186=",740,5186,5926,False,True,"2337+1800=4137
3713+4258=7971
1289+2781=4070
740+5186=5926",5926,True,"[5900, 6000)"
"4157+922=5079
322+4447=4769
2179+2977=5156
4880+1046=",4880,1046,5926,False,True,"4157+922=5079
322+4447=4769
2179+2977=5156
4880+1046=5926",5926,True,"[5900, 6000)"
"2155+4712=6867
4792+2260=7052
405+3326=3731
768+5159=",768,5159,5927,True,True,"2155+4712=6867
4792+2260=7052
405+3326=3731
768+5159=5927",5927,True,"[5900, 6000)"
"4083+2516=6599
4297+3768=8065
2744+2115=4859
598+5329=",598,5329,5927,True,True,"4083+2516=6599
4297+3768=8065
2744+2115=4859
598+5329=5917",5917,False,"[5900, 6000)"
"4441+1370=5811
4654+1118=5772
299+769=1068
3736+2192=",3736,2192,5928,False,True,"4441+1370=5811
4654+1118=5772
299+769=1068
3736+2192=5928",5928,True,"[5900, 6000)"
"541+4584=5125
1988+3036=5024
177+4967=5144
3012+2916=",3012,2916,5928,False,False,"541+4584=5125
1988+3036=5024
177+4967=5144
3012+2916=6000",6000,False,"[5900, 6000)"
"3875+1790=5665
4300+4995=9295
3502+4800=8302
2243+3686=",2243,3686,5929,False,True,"3875+1790=5665
4300+4995=9295
3502+4800=8302
2243+3686=5929",5929,True,"[5900, 6000)"
"4811+4749=9560
2034+195=2229
559+2357=2916
161+5768=",161,5768,5929,False,True,"4811+4749=9560
2034+195=2229
559+2357=2916
161+5768=5939",5939,False,"[5900, 6000)"
"2374+4690=7064
2056+3624=5680
1684+334=2018
2392+3538=",2392,3538,5930,True,True,"2374+4690=7064
2056+3624=5680
1684+334=2018
2392+3538=5930",5930,True,"[5900, 6000)"
"837+617=1454
4257+3884=8141
25+2020=2045
359+5571=",359,5571,5930,True,True,"837+617=1454
4257+3884=8141
25+2020=2045
359+5571=5929",5929,False,"[5900, 6000)"
"3123+1183=4306
4248+3578=7826
4705+275=4980
5+5926=",5,5926,5931,True,False,"3123+1183=4306
4248+3578=7826
4705+275=4980
5+5926=5931",5931,True,"[5900, 6000)"
"2011+1954=3965
4597+2866=7463
4087+617=4704
4190+1741=",4190,1741,5931,False,True,"2011+1954=3965
4597+2866=7463
4087+617=4704
4190+1741=5931",5931,True,"[5900, 6000)"
"2021+1371=3392
2259+3577=5836
1675+1885=3560
3476+2456=",3476,2456,5932,True,True,"2021+1371=3392
2259+3577=5836
1675+1885=3560
3476+2456=5932",5932,True,"[5900, 6000)"
"635+3344=3979
2069+4732=6801
4475+352=4827
5547+385=",5547,385,5932,True,True,"635+3344=3979
2069+4732=6801
4475+352=4827
5547+385=5932",5932,True,"[5900, 6000)"
"627+781=1408
427+2912=3339
1231+2875=4106
3028+2905=",3028,2905,5933,True,False,"627+781=1408
427+2912=3339
1231+2875=4106
3028+2905=5933",5933,True,"[5900, 6000)"
"3150+2435=5585
1381+1103=2484
4132+3809=7941
3799+2134=",3799,2134,5933,True,True,"3150+2435=5585
1381+1103=2484
4132+3809=7941
3799+2134=5933",5933,True,"[5900, 6000)"
"2568+1302=3870
132+281=413
3674+1893=5567
5209+725=",5209,725,5934,True,False,"2568+1302=3870
132+281=413
3674+1893=5567
5209+725=5934",5934,True,"[5900, 6000)"
"1690+706=2396
129+1261=1390
4561+3446=8007
81+5853=",81,5853,5934,False,True,"1690+706=2396
129+1261=1390
4561+3446=8007
81+5853=5934",5934,True,"[5900, 6000)"
"4543+2709=7252
3029+41=3070
1532+1891=3423
5676+259=",5676,259,5935,True,True,"4543+2709=7252
3029+41=3070
1532+1891=3423
5676+259=5935",5935,True,"[5900, 6000)"
"4634+2158=6792
700+3154=3854
2049+2053=4102
5002+933=",5002,933,5935,False,False,"4634+2158=6792
700+3154=3854
2049+2053=4102
5002+933=5935",5935,True,"[5900, 6000)"
"1547+4173=5720
1078+1413=2491
4543+789=5332
3338+2598=",3338,2598,5936,True,True,"1547+4173=5720
1078+1413=2491
4543+789=5332
3338+2598=6036",6036,False,"[5900, 6000)"
"213+3195=3408
4307+1484=5791
3823+3657=7480
4172+1764=",4172,1764,5936,False,True,"213+3195=3408
4307+1484=5791
3823+3657=7480
4172+1764=5936",5936,True,"[5900, 6000)"
"4655+4985=9640
4168+1400=5568
4568+834=5402
354+5583=",354,5583,5937,False,True,"4655+4985=9640
4168+1400=5568
4568+834=5402
354+5583=5935",5935,False,"[5900, 6000)"
"2798+262=3060
4903+1119=6022
406+2342=2748
1867+4070=",1867,4070,5937,False,True,"2798+262=3060
4903+1119=6022
406+2342=2748
1867+4070=5937",5937,True,"[5900, 6000)"
"1583+2176=3759
4512+684=5196
2457+4200=6657
5531+407=",5531,407,5938,False,False,"1583+2176=3759
4512+684=5196
2457+4200=6657
5531+407=5938",5938,True,"[5900, 6000)"
"4540+1743=6283
3689+455=4144
1499+3526=5025
5935+3=",5935,3,5938,False,False,"4540+1743=6283
3689+455=4144
1499+3526=5025
5935+3=5938",5938,True,"[5900, 6000)"
"672+534=1206
3748+1936=5684
3893+1167=5060
4222+1717=",4222,1717,5939,False,False,"672+534=1206
3748+1936=5684
3893+1167=5060
4222+1717=5939",5939,True,"[5900, 6000)"
"4112+2902=7014
1276+2226=3502
835+4058=4893
3173+2766=",3173,2766,5939,False,True,"4112+2902=7014
1276+2226=3502
835+4058=4893
3173+2766=5939",5939,True,"[5900, 6000)"
"2264+3162=5426
3027+4128=7155
2801+1938=4739
335+5605=",335,5605,5940,True,False,"2264+3162=5426
3027+4128=7155
2801+1938=4739
335+5605=6000",6000,False,"[5900, 6000)"
"1808+3458=5266
3883+2284=6167
228+2964=3192
4554+1386=",4554,1386,5940,True,True,"1808+3458=5266
3883+2284=6167
228+2964=3192
4554+1386=5940",5940,True,"[5900, 6000)"
"4615+2878=7493
1670+3595=5265
1427+1084=2511
337+5604=",337,5604,5941,True,False,"4615+2878=7493
1670+3595=5265
1427+1084=2511
337+5604=5941",5941,True,"[5900, 6000)"
"397+2231=2628
2403+3598=6001
550+4139=4689
5069+872=",5069,872,5941,True,True,"397+2231=2628
2403+3598=6001
550+4139=4689
5069+872=5941",5941,True,"[5900, 6000)"
"4416+2784=7200
139+3562=3701
2208+1178=3386
4264+1678=",4264,1678,5942,True,True,"4416+2784=7200
139+3562=3701
2208+1178=3386
4264+1678=5942",5942,True,"[5900, 6000)"
"4393+423=4816
867+211=1078
3514+4508=8022
317+5625=",317,5625,5942,True,False,"4393+423=4816
867+211=1078
3514+4508=8022
317+5625=5942",5942,True,"[5900, 6000)"
"1749+1401=3150
1238+1855=3093
3576+2551=6127
4161+1782=",4161,1782,5943,False,True,"1749+1401=3150
1238+1855=3093
3576+2551=6127
4161+1782=5943",5943,True,"[5900, 6000)"
"2471+3769=6240
1326+1147=2473
1510+2744=4254
5677+266=",5677,266,5943,True,True,"2471+3769=6240
1326+1147=2473
1510+2744=4254
5677+266=5943",5943,True,"[5900, 6000)"
"3545+1476=5021
843+4792=5635
2325+602=2927
268+5676=",268,5676,5944,True,True,"3545+1476=5021
843+4792=5635
2325+602=2927
268+5676=5944",5944,True,"[5900, 6000)"
"284+1249=1533
901+3182=4083
133+2730=2863
4678+1266=",4678,1266,5944,True,True,"284+1249=1533
901+3182=4083
133+2730=2863
4678+1266=5944",5944,True,"[5900, 6000)"
"1376+61=1437
3321+4873=8194
448+4319=4767
525+5420=",525,5420,5945,False,False,"1376+61=1437
3321+4873=8194
448+4319=4767
525+5420=5945",5945,True,"[5900, 6000)"
"659+3618=4277
466+3375=3841
95+3600=3695
5554+391=",5554,391,5945,False,True,"659+3618=4277
466+3375=3841
95+3600=3695
5554+391=5593",5593,False,"[5900, 6000)"
"3618+2733=6351
4073+4182=8255
1268+1749=3017
5745+201=",5745,201,5946,False,False,"3618+2733=6351
4073+4182=8255
1268+1749=3017
5745+201=5946",5946,True,"[5900, 6000)"
"3953+4955=8908
1818+1338=3156
3864+189=4053
1547+4399=",1547,4399,5946,True,True,"3953+4955=8908
1818+1338=3156
3864+189=4053
1547+4399=5946",5946,True,"[5900, 6000)"
"4837+557=5394
3855+3695=7550
1693+3164=4857
974+4973=",974,4973,5947,False,True,"4837+557=5394
3855+3695=7550
1693+3164=4857
974+4973=5947",5947,True,"[5900, 6000)"
"4204+4081=8285
4500+945=5445
3669+1291=4960
3463+2484=",3463,2484,5947,False,True,"4204+4081=8285
4500+945=5445
3669+1291=4960
3463+2484=5947",5947,True,"[5900, 6000)"
"1186+882=2068
4048+3118=7166
2857+775=3632
4130+1818=",4130,1818,5948,False,False,"1186+882=2068
4048+3118=7166
2857+775=3632
4130+1818=5948",5948,True,"[5900, 6000)"
"309+4256=4565
2999+4512=7511
4652+3297=7949
1319+4629=",1319,4629,5948,True,False,"309+4256=4565
2999+4512=7511
4652+3297=7949
1319+4629=6008",6008,False,"[5900, 6000)"
"1754+2178=3932
1525+4700=6225
267+4494=4761
2713+3236=",2713,3236,5949,False,False,"1754+2178=3932
1525+4700=6225
267+4494=4761
2713+3236=6949",6949,False,"[5900, 6000)"
"3478+4273=7751
886+2765=3651
4541+295=4836
873+5076=",873,5076,5949,False,True,"3478+4273=7751
886+2765=3651
4541+295=4836
873+5076=5949",5949,True,"[5900, 6000)"
"1617+4809=6426
3645+1620=5265
1131+3554=4685
4443+1507=",4443,1507,5950,True,False,"1617+4809=6426
3645+1620=5265
1131+3554=4685
4443+1507=5950",5950,True,"[5900, 6000)"
"4533+1943=6476
2273+3913=6186
1047+172=1219
134+5816=",134,5816,5950,True,False,"4533+1943=6476
2273+3913=6186
1047+172=1219
134+5816=5950",5950,True,"[5900, 6000)"
"1810+1652=3462
861+440=1301
2897+352=3249
2240+3711=",2240,3711,5951,False,False,"1810+1652=3462
861+440=1301
2897+352=3249
2240+3711=5951",5951,True,"[5900, 6000)"
